Model,R2,MAE,RMSE
Model 1 Baseline,0.734041258411394,0.8809942000467803,1.1101204016156034
Model 2 Feature Selection,0.7275533273748682,0.8934048260861963,1.12357923295024
Model 3 Interaction Terms,0.744755406779991,0.8705965467784461,1.087529947637761
